departamento,n_adjudicados,n_un_solo_licitador,proporcion_un_solo_licitador
TUMBES,120,44,0.36666666666666664
LIMA,3863,1166,0.30183794977996375
AMAZONAS,218,35,0.16055045871559634
AREQUIPA,545,80,0.14678899082568808
LA LIBERTAD,484,49,0.1012396694214876
PIURA,405,41,0.10123456790123457
LAMBAYEQUE,272,27,0.09926470588235294
CALLAO,220,21,0.09545454545454546
LORETO,330,31,0.09393939393939393
AYACUCHO,440,34,0.07727272727272727
SAN MARTÍN,242,16,0.06611570247933884
CAJAMARCA,594,39,0.06565656565656566
MADRE DE DIOS,153,9,0.058823529411764705
PASCO,177,10,0.05649717514124294
ICA,232,13,0.05603448275862069
JUNÍN,627,31,0.049441786283891544
MOQUEGUA,257,12,0.04669260700389105
HUÁNUCO,446,19,0.042600896860986545
ANCASH,900,38,0.042222222222222223
TACNA,228,9,0.039473684210526314
HUANCAVELICA,272,10,0.03676470588235294
UCAYALI,278,10,0.03597122302158273
PUNO,762,25,0.03280839895013123
CUSCO,1086,25,0.02302025782688766
APURÍMAC,591,9,0.015228426395939087
