comprador_nombre,n_adjudicados,n_un_solo_licitador,proporcion_un_solo_licitador
FOMENTO Y GESTIÓN SOSTENIBLE DE LA PRODUCCIÓN FORESTAL EN EL PERÚ,22,22,1.0
UNIDAD EJECUTORA 002 CONSERVACION DE BOSQUES,14,14,1.0
GOBIERNO REGIONAL DE ANCASH - DIRECCION DE RED DE SALUD PACIFICO NORTE,11,11,1.0
ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,174,166,0.9540229885057471
PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI,27,23,0.8518518518518519
MINISTERIO DE RELACIONES EXTERIORES,56,47,0.8392857142857143
COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,134,104,0.7761194029850746
MINISTERIO DE TRANSPORTES Y COMUNICACIONES,13,10,0.7692307692307693
PETROLEOS DEL PERU S.A.,94,72,0.7659574468085106
HOSPITAL NACIONAL DOS DE MAYO,12,9,0.75
